date,symbol,close
2021-03-25,NVDA,501.41
2021-03-26,NVDA,513.57
2021-03-29,NVDA,517.93
2021-03-30,NVDA,514.87
2021-03-31,NVDA,533.93
2021-04-01,NVDA,552.47
2021-04-05,NVDA,559.5
2021-04-06,NVDA,554.46
2021-04-07,NVDA,565.74
2021-04-08,NVDA,572.68
2021-04-09,NVDA,576.0
2021-04-12,NVDA,608.36
2021-04-13,NVDA,627.18
2021-04-14,NVDA,611.08
2021-04-15,NVDA,645.49
2021-04-16,NVDA,636.5
2021-04-19,NVDA,614.47
2021-04-20,NVDA,606.85
2021-04-21,NVDA,614.42
2021-04-22,NVDA,594.01
2021-04-23,NVDA,610.61
2021-04-26,NVDA,619.12
2021-04-27,NVDA,615.27
2021-04-28,NVDA,611.07
2021-04-29,NVDA,612.99
2021-04-30,NVDA,600.38
2021-05-03,NVDA,593.47
2021-05-04,NVDA,574.05
2021-05-05,NVDA,578.34
2021-05-06,NVDA,580.92
2021-05-07,NVDA,592.49
2021-05-10,NVDA,570.63
2021-05-11,NVDA,572.25
2021-05-12,NVDA,550.34
2021-05-13,NVDA,546.61
2021-05-14,NVDA,569.72
2021-05-17,NVDA,566.62
2021-05-18,NVDA,560.63
2021-05-19,NVDA,562.63
2021-05-20,NVDA,584.5
2021-05-21,NVDA,599.67
2021-05-24,NVDA,624.48
2021-05-25,NVDA,625.91
2021-05-26,NVDA,628.0
2021-05-27,NVDA,619.52
2021-05-28,NVDA,649.78
2021-06-01,NVDA,650.58
2021-06-02,NVDA,671.13
2021-06-03,NVDA,678.79
2021-06-04,NVDA,703.13
2021-06-07,NVDA,704.76
2021-06-08,NVDA,698.28
2021-06-09,NVDA,694.33
2021-06-10,NVDA,697.0
2021-06-11,NVDA,713.01
2021-06-14,NVDA,720.75
2021-06-15,NVDA,711.54
2021-06-16,NVDA,712.41
2021-06-17,NVDA,746.29
2021-06-18,NVDA,745.55
2021-06-21,NVDA,737.09
2021-06-22,NVDA,755.47
2021-06-23,NVDA,762.29
2021-06-24,NVDA,768.22
2021-06-25,NVDA,761.24
2021-06-28,NVDA,799.4
2021-06-29,NVDA,801.07
2021-06-30,NVDA,800.1
2021-07-01,NVDA,808.48
2021-07-02,NVDA,819.48
2021-07-06,NVDA,827.94
2021-07-07,NVDA,814.87
2021-07-08,NVDA,796.11
2021-07-09,NVDA,802.01
2021-07-12,NVDA,820.5
2021-07-13,NVDA,810.0
2021-07-14,NVDA,793.66
2021-07-15,NVDA,758.65
2021-07-16,NVDA,726.44
2021-07-19,NVDA,751.19
2021-07-20,NVDA,186.12
2021-07-21,NVDA,194.1
2021-07-22,NVDA,195.94
2021-07-23,NVDA,195.58
2021-07-26,NVDA,192.94
2021-07-27,NVDA,192.08
2021-07-28,NVDA,195.03
2021-07-29,NVDA,196.62
2021-07-30,NVDA,194.99
2021-08-02,NVDA,197.5
2021-08-03,NVDA,198.15
2021-08-04,NVDA,202.74
2021-08-05,NVDA,206.37
2021-08-06,NVDA,203.66
2021-08-09,NVDA,202.95
2021-08-10,NVDA,199.36
2021-08-11,NVDA,196.99
2021-08-12,NVDA,199.05
2021-08-13,NVDA,201.88
2021-08-16,NVDA,199.5
2021-08-17,NVDA,194.58
2021-08-18,NVDA,190.4
2021-08-19,NVDA,197.98
2021-08-20,NVDA,208.16
2021-08-23,NVDA,219.58
2021-08-24,NVDA,217.93
2021-08-25,NVDA,222.13
2021-08-26,NVDA,220.68
2021-08-27,NVDA,226.36
2021-08-30,NVDA,226.88
2021-08-31,NVDA,223.85
2021-09-01,NVDA,224.41
2021-09-02,NVDA,223.96
2021-09-03,NVDA,228.43
2021-09-07,NVDA,226.62
2021-09-08,NVDA,223.39
2021-09-09,NVDA,221.77
2021-09-10,NVDA,224.78
2021-09-13,NVDA,221.52
2021-09-14,NVDA,222.42
2021-09-15,NVDA,223.41
2021-09-16,NVDA,222.42
2021-09-17,NVDA,219.0
2021-09-20,NVDA,211.13
2021-09-21,NVDA,212.46
2021-09-22,NVDA,219.41
2021-09-23,NVDA,224.82
2021-09-24,NVDA,220.81
2021-09-27,NVDA,216.6
2021-09-28,NVDA,206.99
2021-09-29,NVDA,205.17
2021-09-30,NVDA,207.16
2021-10-01,NVDA,207.42
2021-10-04,NVDA,197.32
2021-10-05,NVDA,204.51
2021-10-06,NVDA,207.0
2021-10-07,NVDA,210.75
2021-10-08,NVDA,208.31
2021-10-11,NVDA,206.95
2021-10-12,NVDA,206.71
2021-10-13,NVDA,209.39
2021-10-14,NVDA,217.46
2021-10-15,NVDA,218.62
2021-10-18,NVDA,222.22
2021-10-19,NVDA,222.9
2021-10-20,NVDA,221.03
2021-10-21,NVDA,226.92
2021-10-22,NVDA,227.26
2021-10-25,NVDA,231.66
2021-10-26,NVDA,247.17
2021-10-27,NVDA,244.51
2021-10-28,NVDA,249.41
2021-10-29,NVDA,255.67
2021-11-01,NVDA,258.27
2021-11-02,NVDA,264.01
2021-11-03,NVDA,265.98
2021-11-04,NVDA,298.01
2021-11-05,NVDA,297.52
2021-11-08,NVDA,308.04
2021-11-09,NVDA,306.57
2021-11-10,NVDA,294.59
2021-11-11,NVDA,303.9
2021-11-12,NVDA,303.9
2021-11-15,NVDA,300.25
2021-11-16,NVDA,302.03
2021-11-17,NVDA,292.61
2021-11-18,NVDA,316.75
2021-11-19,NVDA,329.85
2021-11-22,NVDA,319.56
2021-11-23,NVDA,317.46
2021-11-24,NVDA,326.74
2021-11-26,NVDA,315.03
2021-11-29,NVDA,333.76
2021-11-30,NVDA,326.76
2021-12-01,NVDA,314.35
2021-12-02,NVDA,321.26
2021-12-03,NVDA,306.93
2021-12-06,NVDA,300.37
2021-12-07,NVDA,324.27
2021-12-08,NVDA,318.26
2021-12-09,NVDA,304.9
2021-12-10,NVDA,301.98
2021-12-13,NVDA,281.61
2021-12-14,NVDA,283.37
2021-12-15,NVDA,304.59
2021-12-16,NVDA,283.87
2021-12-17,NVDA,278.01
2021-12-20,NVDA,277.19
2021-12-21,NVDA,290.75
2021-12-22,NVDA,294.0
2021-12-23,NVDA,296.4
2021-12-27,NVDA,309.45
2021-12-28,NVDA,303.22
2021-12-29,NVDA,300.01
2021-12-30,NVDA,295.86
2021-12-31,NVDA,294.11
2022-01-03,NVDA,301.21
2022-01-04,NVDA,292.9
2022-01-05,NVDA,276.04
2022-01-06,NVDA,281.78
2022-01-07,NVDA,272.47
2022-01-10,NVDA,274.0
2022-01-11,NVDA,278.17
2022-01-12,NVDA,279.99
2022-01-13,NVDA,265.75
2022-01-14,NVDA,269.42
2022-01-18,NVDA,259.03
2022-01-19,NVDA,250.67
2022-01-20,NVDA,241.5
2022-01-21,NVDA,233.74
